Time [s],Primary Continuity,Backup Continuity,Low Voltage [V],High Voltage [V],Linear Acceleration X [m/s^2],Linear Acceleration Y [m/s^2],Linear Acceleration Z [m/s^2],Altitude [m],Flight State,Accleration X [m/s^2],Accleration Y [m/s^2],Accleration Z [m/s^2],Gravity Acceleration X [m/s^2],Gravity Acceleration Y [m/s^2],Gravity Acceleration Z [m/s^2],Magnetic Field Strength X [uT],Magnetic Field Strength Y [uT],Magnetic Field Strength Z [uT],Gyro 1,Gyro 2,Gyro 3,Euler Angles 1,Euler Angles 2,Euler Angles 3,Quaternion 1,Quaternion 2,Quaternion 3,Quaternion 4,High Current [A],TemperaturePressure [hPa],Low Power [W],Low Current [A],High Power [W],extra1,extra2,extra3,extra4
674.34985,0.00000,0.00000,4.12375,12.55375,0.04000,-0.10000,-0.38000,1.26829,1.00000,0.22000,1.13000,9.34000,0.18000,1.24000,9.72000,-78.25000,-194.56250,-221.25000,0.00654,0.00436,-0.00218,0.62500,1.06250,-7.31250,0.99792,0.06378,-0.00970,-0.00555,0.00000,26.74316,995.74146,310.00000,75.00000,0.00000,-0.22266,-9.83538,-0.70150
674.54980,0.00000,0.00000,4.11500,12.55375,-0.01000,0.00000,-0.35000,0.64471,1.00000,0.17000,1.24000,9.37000,0.18000,1.24000,9.72000,-77.50000,-193.75000,-221.56250,0.00545,0.00436,0.00000,0.62500,1.06250,-7.31250,0.99792,0.06378,-0.00970,-0.00555,-1.25000,26.73808,995.66138,290.00000,251.25000,10.00000,-0.95289,-78.45319,-3.07415
674.74976,0.00000,0.00000,4.12375,12.55375,3.73000,1.15000,29.49999,2.48374,1.00000,6.05000,5.24000,39.21999,0.33000,1.25000,9.72000,-45.87500,-115.25000,-130.75000,-0.23344,-0.09599,0.31634,358.87500,1.87500,-7.31250,0.99780,0.06317,-0.01697,0.01031,1.25000,26.73808,995.34302,290.00000,72.50000,0.00000,-4.07254,-78.45319,-1.25456
674.94971,0.00000,0.00000,4.12250,12.55375,3.33000,2.40000,29.49999,8.71950,1.00000,3.97000,3.11000,39.21999,0.54000,1.19000,9.71000,-46.00000,-113.00000,-130.06250,-0.03054,-0.16472,-0.18108,358.50000,3.12500,-7.00000,0.99768,0.06134,-0.02765,0.01208,0.00000,26.74316,994.43701,310.00000,73.75000,0.00000,-3.34230,-78.45319,-1.22823
675.14966,0.00000,0.00000,4.12250,12.55375,2.84000,1.95000,29.49999,17.65039,1.00000,3.78000,3.29000,39.21999,0.84000,1.05000,9.71000,-46.68750,-111.06250,-127.56250,-0.12217,-0.14726,-0.07418,359.81250,4.93750,-6.18750,0.99762,0.05347,-0.04401,0.00085,-1.25000,26.74316,993.24048,290.00000,70.00000,10.00000,-4.05578,-78.45319,-1.81720
675.34961,0.00000,0.00000,4.12250,12.55249,2.71000,2.62000,29.48999,30.29102,1.00000,3.72000,3.39000,39.21999,1.01000,0.74000,9.72000,-47.18750,-109.56250,-127.18750,-0.15381,0.02618,0.52142,358.31250,5.93750,-4.37500,0.99780,0.03888,-0.05133,0.01422,0.00000,26.73554,991.58276,290.00000,71.25000,0.00000,-3.35428,-78.45319,-1.91057
675.54956,0.00000,0.00000,4.12250,12.55249,3.08000,3.22000,29.45999,46.56743,1.00000,3.92000,3.64000,39.21999,0.82000,0.41000,9.76000,-46.18750,-103.75000,-122.00000,0.00327,0.23998,1.12356,348.31250,4.81250,-2.37500,0.99377,0.02509,-0.03967,0.10120,0.00000,26.74062,989.49146,290.00000,71.25000,0.00000,-2.65517,-78.45319,-2.13084
675.74951,0.00000,0.00000,4.12375,12.55375,4.21000,3.46000,29.43999,64.87311,1.00000,4.75000,3.93000,39.21999,0.52000,0.48000,9.77999,-23.68750,-75.25000,-121.68750,0.17453,0.11890,0.83230,337.06250,3.00000,-2.81250,0.97949,0.02942,-0.02130,0.19824,0.00000,26.73554,987.30688,310.00000,73.75000,0.00000,-4.07972,-78.45319,-3.42131
675.94946,0.00000,0.00000,4.12250,12.55375,3.61000,1.89000,29.44999,84.66901,1.00000,4.21000,2.58000,39.21999,0.60000,0.68000,9.76000,-16.25000,-58.75000,-126.75000,0.09163,-0.04472,1.24682,326.56250,3.56250,-4.00000,0.95667,0.04272,-0.01984,0.28729,0.00000,26.73066,984.75610,310.00000,73.75000,0.00000,-3.97437,-78.45319,-1.94170
676.14941,0.00000,0.00000,4.12250,12.55375,3.37000,3.22000,29.44999,109.70721,1.00000,4.12000,3.67000,39.21999,0.74000,0.45000,9.76000,-17.87500,-46.37500,-125.75000,-0.08181,0.10690,1.79442,308.87500,4.31250,-2.50000,0.90143,0.03613,-0.02460,0.43073,-2.50000,26.72812,981.71533,290.00000,72.50000,30.00000,-3.41174,-76.76526,-1.57778
676.34937,0.00000,0.00000,4.12500,12.55375,3.86000,2.60000,29.43999,137.25024,2.00000,4.58000,2.75000,39.21999,0.71000,0.14000,9.77000,-19.18750,-34.18750,-124.18750,-0.05672,0.01309,1.88059,289.43750,4.18750,-0.75000,0.81586,0.02661,-0.02612,0.57709,0.00000,26.72559,978.39771,310.00000,73.75000,0.00000,-4.03662,-69.58267,-2.13802
676.54932,0.00000,0.00000,4.12375,12.55375,4.00000,3.46000,29.43999,166.51605,2.00000,4.71000,3.31000,39.21999,0.71000,-0.14000,9.77000,-22.06250,-21.50000,-122.37500,0.11999,0.00982,1.58280,268.62500,4.12500,0.81250,0.69830,0.02075,-0.03052,0.71490,0.00000,26.71816,974.99512,290.00000,72.50000,0.00000,-3.27287,-37.64641,-1.45807
676.75537,0.00000,0.00000,4.12250,12.55375,2.20000,0.53000,9.95000,196.35266,2.00000,1.69000,1.99000,16.17999,0.66000,-0.10000,9.77999,-23.50000,-14.75000,-120.37500,0.08618,0.04145,1.93731,250.62500,3.87500,0.56250,0.57782,0.02472,-0.02399,0.81543,1.25000,26.72070,970.30615,290.00000,71.25000,10.00000,-0.62728,7.20415,-0.72544
676.95508,0.00000,0.00000,4.12125,12.55375,2.11000,-0.08000,-17.32999,260.26392,2.00000,2.44000,-0.18000,-7.53000,0.29000,-0.07000,9.80000,-24.50000,-8.18750,-121.75000,0.27925,0.35670,2.47400,225.81250,1.68750,0.43750,0.38947,0.01221,-0.00958,0.92090,1.25000,26.71816,963.57837,290.00000,73.75000,10.00000,-5.37977,6.14591,0.06943
677.15503,0.00000,0.00000,4.12125,12.55375,4.36000,-2.49000,-17.05000,302.54028,2.00000,4.14000,-2.22000,-7.24000,-0.23000,0.28000,9.79000,-19.50000,-1.37500,-123.68750,0.10690,0.24216,2.96815,196.12500,-1.37500,-1.62500,0.14050,-0.00989,0.01605,0.98987,0.00000,26.71328,958.91650,290.00000,70.00000,0.00000,-4.34787,7.31907,0.24181
