Time [s],Primary Continuity,Backup Continuity,Low Voltage [V],High Voltage [V],Linear Acceleration X [m/s^2],Linear Acceleration Y [m/s^2],Linear Acceleration Z [m/s^2],Altitude [m],Flight State,Accleration X [m/s^2],Accleration Y [m/s^2],Accleration Z [m/s^2],Gravity Acceleration X [m/s^2],Gravity Acceleration Y [m/s^2],Gravity Acceleration Z [m/s^2],Magnetic Field Strength X [uT],Magnetic Field Strength Y [uT],Magnetic Field Strength Z [uT],Gyro 1,Gyro 2,Gyro 3,Euler Angles 1,Euler Angles 2,Euler Angles 3,Quaternion 1,Quaternion 2,Quaternion 3,Quaternion 4,High Current [A],Temperature,Pressure [hPa],Low Power [W],Low Current [A],High Power [W],Drill imu 1,Drill imu 2,Drill imu 3
704.5835,0,0,4.125,12.54874,3.28,0.77,29.48999,133.35028,2,2.11,1.16,39.21999,-1.16,0.39,9.72,-23.25,-39.5,-91.875,0.11563,-0.06436,0.61305,355,-6.75,-2.375,0.99707,0.01843,0.06018,0.04309,-1.25,33.38593,913.39966,320,78.75,10,-0.70868,-67.58591,2.06141
704.80933,0,0,4.1275,12.55,3.18,-0.26,29.51999,157.82831,2,2.06,0.55,39.21999,-1.15,0.92,9.68999,-25.1875,-37.6875,-90.0625,0.14944,0.1429,1.0821,344.0625,-6.75,-5.5625,0.98749,0.03992,0.06519,0.13776,-1.25,33.37598,910.60303,310,75,10,-1.42694,-63.68575,0.61052
705.01904,0,0,4.12875,12.55,3.77,-0.52,29.56999,184.17706,2,2.65,0.86,39.21999,-1.1,1.35,9.64,-26.5625,-30.875,-90.1875,-0.05236,0.11672,1.61879,328.375,-6.4375,-8,0.95618,0.05164,0.07324,0.27875,0,33.38847,907.65283,310,73.75,0,-0.77812,-60.34344,0.52433
706.12671,0,0,4.1275,12.54874,1.54,-1.54,-15.09999,355.74512,2,1.88,0.2,-5.46,0.33,1.75,9.64,-19.75,2.25,-94.1875,-0.05563,0.01091,0.74395,251.5,2,-10.25,0.58197,0.06677,0.06207,0.80811,-1.25,33.21933,889.11523,310,73.75,10,-2.24576,4.72855,-0.36152
706.33594,0,0,4.085,12.54874,0.65,-1.78,-14.86,386.13135,2,1.22,-0.17,-5.2,0.56,1.61,9.65,-16.75,3.5625,-93.6875,-0.01418,0.05563,0.88357,241.5,3.3125,-9.4375,0.5097,0.06726,0.05585,0.8559,0,33.31133,885.91553,320,217.5,0,-3.27766,4.95839,-1.1133
706.54517,0,0,4.1275,12.55,0.18,-0.83,-14.52999,416.05237,2,2.99,0,-4.89,0.77,1.46,9.66,-13.1875,5.5,-92.6875,-0.02182,0.01091,0.8443,231.125,4.5625,-8.5625,0.43036,0.06854,0.04999,0.89868,0,33.33612,882.80396,310,73.75,10,-3.27527,5.18344,-0.53151
706.75464,0,0,4.1275,12.55,1.24,-1.47,-14.41999,444.82153,2,1.89,-0.38,-4.85,1.01,1.34,9.66,-11.0625,7.5625,-94.1875,0.024,0.01418,0.83558,221.125,5.9375,-7.8125,0.34998,0.07306,0.04559,0.9328,0,33.3537,879.76465,320,76.25,30,-2.30562,4.50589,-0.13168
706.96387,0,0,4.1275,12.55,0.28,-1.59,-14.18999,472.90356,2,1.77,-0.56,-4.46,1.19,1.18,9.66,-7.5625,9.1875,-92.875,0.02945,0.036,0.84103,211.625,7,-6.875,0.27148,0.07556,0.04108,0.95856,-1.25,33.36113,876.90088,310,73.75,10,-2.20266,4.19703,-0.77812
707.1731,0,0,4.1275,12.54874,0.4,-0.65,-14.05,500.90112,2,1.71,0.28,-4.38,1.31,0.92,9.67,-3.75,9.5,-93.5,-0.01527,0.03054,0.86612,202.5625,7.625,-5.4375,0.19525,0.07507,0.03339,0.97729,0,33.36855,873.98926,290,71.25,0,-1.71664,3.65116,-0.14605
707.38232,0,0,4.1275,12.54874,-0.43,-0.85,-13.68999,526.82715,2,1.05,-0.17,-4.02,1.49,0.68,9.66,-0.25,9.5,-92.75,-0.01854,-0.06436,0.89557,192.1875,8.8125,-3.9375,0.1062,0.0802,0.0257,0.99078,-1.25,33.37851,871.27344,290,72.5,10,-1.34554,4.28323,-0.22027
