#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 6205, 3,    -0.62, 3,   boost,   19.05,  92515.00,  760.62,    5.11,   24.18, 32.8, 4.11, 4.17, 4.11
6, 6205, 3,    -0.61, 3,   boost,   20.06,  92512.00,  760.89,    5.38,   24.55, 32.8, 4.12, 4.17, 4.11
6, 6205, 3,    -0.60, 3,   boost,   21.11,  92497.00,  762.24,    6.72,   24.93, 32.8, 4.12, 4.17, 4.11
6, 6205, 3,    -0.59, 3,   boost,   22.20,  92502.00,  761.79,    6.27,   25.31, 32.8, 4.11, 4.17, 4.11
6, 6205, 3,    -0.58, 3,   boost,   23.32,  92500.00,  761.97,    6.45,   25.70, 32.8, 4.12, 4.18, 4.11
6, 6205, 3,    -0.57, 3,   boost,   24.47,  92497.00,  762.24,    6.72,   26.09, 32.8, 4.11, 4.17, 4.11
6, 6205, 3,    -0.56, 3,   boost,   25.65,  92498.00,  762.15,    6.63,   26.49, 32.8, 4.11, 4.17, 4.11
6, 6205, 3,    -0.55, 3,   boost,   26.87,  92493.00,  762.59,    7.08,   26.89, 32.8, 4.11, 4.17, 4.11
6, 6205, 3,    -0.54, 3,   boost,   28.11,  92485.00,  763.31,    7.79,   27.29, 32.8, 4.11, 4.17, 4.11
6, 6205, 3,    -0.53, 3,   boost,   29.37,  92496.00,  762.33,    6.81,   27.70, 32.8, 4.11, 4.18, 4.11
6, 6205, 3,    -0.52, 3,   boost,   30.64,  92483.00,  763.49,    7.97,   28.12, 32.8, 4.11, 4.17, 4.11
6, 6205, 3,    -0.51, 3,   boost,   31.93,  92480.00,  763.76,    8.24,   28.54, 32.8, 4.11, 4.17, 4.11
6, 6205, 3,    -0.50, 3,   boost,   33.23,  92476.00,  764.12,    8.60,   28.97, 32.8, 4.12, 4.17, 4.11
6, 6205, 3,    -0.49, 3,   boost,   34.54,  92477.00,  764.03,    8.51,   29.40, 32.8, 4.12, 4.17, 4.12
6, 6205, 3,    -0.48, 3,   boost,   35.84,  92476.00,  764.12,    8.60,   29.83, 32.8, 4.11, 4.17, 4.11
6, 6205, 3,    -0.47, 3,   boost,   37.13,  92472.00,  764.48,    8.96,   30.27, 32.8, 4.11, 4.17, 4.11
6, 6205, 3,    -0.46, 3,   boost,   38.40,  92469.00,  764.75,    9.23,   30.72, 32.8, 4.12, 4.18, 4.11
6, 6205, 3,    -0.45, 3,   boost,   39.66,  92463.00,  765.28,    9.77,   31.17, 32.8, 4.12, 4.17, 4.11
6, 6205, 3,    -0.44, 3,   boost,   40.89,  92450.00,  766.45,   10.93,   31.62, 32.8, 4.11, 4.17, 4.11
6, 6205, 3,    -0.43, 3,   boost,   42.09,  92461.00,  765.46,    9.95,   32.08, 32.8, 4.11, 4.17, 4.11
