Time (s),X (ft),Y (ft),Velocity X (ft/s),Velocity Y (ft/s),Acceleration X (ft/s²),Acceleration Y (ft/s²),Pressure [Pa]
0.00,0.00,0.00,0.00,0.00,0.00,-0.41,101325.00000000001
0.03,0.00,-0.01,0.00,-0.01,0.00,140.16,101325.00000000001
0.06,0.00,0.10,0.00,8.42,0.00,293.28,101324.69610814752
0.09,0.00,0.50,0.00,17.60,0.00,303.12,101323.55154463106
0.12,0.00,1.16,0.00,26.62,0.00,299.24,101321.61147390299
0.15,0.00,2.09,0.00,35.57,0.00,297.49,101318.88323918657
0.18,0.00,3.30,0.00,44.49,0.00,297.51,101315.37223950525
0.21,0.00,4.77,0.00,53.44,0.00,298.76,101311.07783737952
0.24,0.00,6.51,0.00,62.43,0.00,300.03,101305.99674453758
0.27,0.00,8.52,0.00,71.46,0.00,301.29,101300.12570259452
0.30,0.00,10.80,0.00,80.53,0.00,302.54,101293.46149574172
0.33,0.00,13.35,0.00,89.63,0.00,303.78,101286.00095147196
0.36,0.00,16.18,0.00,98.77,0.00,305.01,101277.74094130067
0.39,0.00,19.29,0.00,107.95,0.00,306.09,101268.67838148103
0.42,0.00,22.67,0.00,117.16,0.00,306.74,101258.81041300029
0.45,0.00,26.32,0.00,126.37,0.00,307.08,101248.13564010835
0.48,0.00,30.26,0.00,135.60,0.00,307.40,101236.65339027096
0.51,0.00,34.47,0.00,144.84,0.00,307.69,101224.36304862541
0.54,0.00,38.96,0.00,154.08,0.00,307.98,101211.26405423552
0.57,0.00,43.72,0.00,163.33,0.00,308.25,101197.35590032996
0.60,0.00,48.77,0.00,172.59,0.00,308.50,101182.63813452651
0.63,0.00,54.09,0.00,181.86,0.00,308.74,101167.11035904403
0.66,0.00,59.69,0.00,191.14,0.00,308.96,101150.77223090135
0.69,0.00,65.57,0.00,200.42,0.00,309.00,101133.6234622886
0.72,0.00,71.73,0.00,209.70,0.00,308.66,101115.66413189747
0.75,0.00,78.16,0.00,218.96,0.00,308.14,101096.89559088374
0.78,0.00,84.88,0.00,228.20,0.00,307.59,101077.31957969
0.81,0.00,91.87,0.00,237.43,0.00,307.02,101056.93789821833
0.84,0.00,99.14,0.00,246.64,0.00,306.44,101035.75240524189
0.87,0.00,106.68,0.00,255.84,0.00,305.84,101013.76501810593
0.90,0.00,114.50,0.00,265.01,0.00,305.23,100990.9777124141
0.93,0.00,122.60,0.00,274.17,0.00,304.59,100967.39252169867
0.96,0.00,130.97,0.00,283.31,0.00,303.93,100943.01153707562
0.99,0.00,139.61,0.00,292.42,0.00,302.98,100917.8369143939
1.02,0.00,148.53,0.00,301.50,0.00,301.67,100891.87151677841
1.05,0.00,157.72,0.00,310.54,0.00,300.25,100865.11937338325
1.08,0.00,167.18,0.00,319.54,0.00,298.82,100837.58467685417
1.11,0.00,176.91,0.00,328.49,0.00,297.37,100809.27167740479
1.14,0.00,186.91,0.00,337.40,0.00,295.91,100780.18468195394
1.17,0.00,197.17,0.00,346.26,0.00,294.42,100750.32805324871
1.20,0.00,207.71,0.00,355.08,0.00,292.92,100719.70620897635
1.23,0.00,218.50,0.00,363.85,0.00,291.40,100688.32362086399
1.26,0.00,229.56,0.00,372.58,0.00,289.87,100656.18481376601
1.29,0.00,240.88,0.00,381.26,0.00,288.32,100623.2943647421
1.32,0.00,252.46,0.00,389.90,0.00,286.75,100589.65690212311
1.35,0.00,264.29,0.00,398.48,0.00,285.17,100555.27710456819
1.38,0.00,276.39,0.00,407.02,0.00,283.58,100520.15970011195
1.41,0.00,288.74,0.00,415.52,0.00,281.85,100484.30946486222
1.44,0.00,301.34,0.00,423.95,0.00,279.92,100447.73142238456
1.47,0.00,314.20,0.00,432.33,0.00,277.88,100410.43133650122
1.50,0.00,327.31,0.00,440.64,0.00,275.82,100372.41516742174
1.53,0.00,340.67,0.00,448.89,0.00,273.75,100333.6889193768
1.56,0.00,354.27,0.00,457.08,0.00,271.67,100294.25863967564
1.59,0.00,368.12,0.00,465.21,0.00,269.57,100254.13041746264
1.62,0.00,382.21,0.00,473.27,0.00,267.46,100213.31038247266
1.65,0.00,396.54,0.00,481.27,0.00,265.33,100171.80470378275
1.68,0.00,411.11,0.00,489.21,0.00,263.23,100129.61958856332
1.71,0.00,425.92,0.00,497.08,0.00,261.36,100086.76124662785
1.74,0.00,440.97,0.00,504.91,0.00,259.72,100043.23521784862
1.77,0.00,456.25,0.00,512.68,0.00,258.09,99999.04641289712
1.80,0.00,471.76,0.00,520.41,0.00,256.46,99954.19975090097
1.83,0.00,487.50,0.00,528.08,0.00,254.81,99908.70018438007
1.86,0.00,503.48,0.00,535.71,0.00,253.15,99862.55269830568
1.89,0.00,519.68,0.00,543.29,0.00,251.49,99815.76230915748
