Time (s),Altitude (ft),Total velocity (ft/s),Total acceleration (ft/s²),Air pressure (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.002,0.303,30.267,999.426
0.02,-0.001,0.265,26.519,999.426
0.03,0.003,0.555,55.535,999.426
0.04,0.019,2.714,215.946,999.426
0.05,0.062,5.771,305.732,999.425
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.135,8.979,320.911,999.423
0.07,0.241,12.107,312.882,999.421
0.08,0.377,15.144,303.699,999.418
0.09,0.544,18.167,302.427,999.414
0.1,0.74,21.183,301.654,999.41
0.11,0.967,24.191,300.88,999.405
0.12,1.224,27.192,300.103,999.399
0.13,1.511,30.184,299.325,999.393
0.14,1.828,33.169,298.544,999.386
0.15,2.174,36.146,297.762,999.378
0.16,2.551,39.116,297.076,999.37
0.17,2.957,42.089,297.292,999.361
0.18,3.392,45.065,297.725,999.352
0.19,3.858,48.046,298.157,999.342
0.2,4.353,51.032,298.588,999.331
0.21,4.879,54.021,299.018,999.319
0.22,5.434,57.015,299.447,999.307
0.23,6.019,60.013,299.875,999.295
0.24,6.634,63.016,300.302,999.281
0.25,7.279,66.022,300.727,999.267
0.26,7.955,69.033,301.151,999.252
0.27,8.66,72.049,301.575,999.237
0.28,9.396,75.068,301.997,999.221
0.29,10.161,78.092,302.417,999.204
0.3,10.957,81.119,302.837,999.187
0.31,11.784,84.152,303.255,999.169
# Event LAUNCHROD occurred at t=0.32 seconds
0.32,12.64,87.188,303.672,999.15
0.335,13.982,91.75,304.217,999.121
0.358,16.124,98.61,305.029,999.074
0.391,19.626,108.939,306.234,998.997
0.441,25.457,124.3,307.444,998.87
0.491,32.057,139.69,308.01,998.726
0.541,39.427,155.107,308.528,998.565
0.591,47.568,170.55,309.008,998.387
0.641,56.482,186.015,309.449,998.192
0.691,66.17,201.501,309.851,997.981
0.741,76.632,216.977,309.612,997.752
0.791,87.867,232.41,308.747,997.507
0.841,99.872,247.799,307.838,997.245
0.891,112.645,263.141,306.885,996.966
0.941,126.185,278.435,305.889,996.67
0.991,140.487,293.676,304.823,996.358
1.041,155.55,308.824,302.918,996.029
1.091,171.367,323.855,300.574,995.683
1.141,187.933,338.768,298.184,995.322
1.191,205.241,353.561,295.75,994.944
1.241,223.286,368.23,293.272,994.55
1.291,242.061,382.775,290.751,994.14
1.341,261.56,397.192,288.187,993.714
