Time (s),Altitude (ft),Total velocity (ft/s),Total acceleration (ft/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.002,0.303,30.267
0.02,-0.001,0.265,26.519
0.03,0.003,0.555,55.535
0.04,0.019,2.714,215.946
0.05,0.062,5.771,305.732
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.135,8.979,320.911
0.07,0.241,12.107,312.882
0.08,0.377,15.144,303.699
0.09,0.544,18.167,302.427
0.1,0.74,21.183,301.654
0.11,0.967,24.191,300.88
0.12,1.224,27.192,300.103
0.13,1.511,30.184,299.325
0.14,1.828,33.169,298.544
0.15,2.174,36.146,297.762
0.16,2.551,39.116,297.076
0.17,2.957,42.089,297.292
0.18,3.392,45.065,297.725
0.19,3.858,48.046,298.157
0.2,4.353,51.032,298.588
0.21,4.879,54.021,299.018
0.22,5.434,57.015,299.447
0.23,6.019,60.013,299.875
0.24,6.634,63.016,300.302
0.25,7.279,66.022,300.727
0.26,7.955,69.033,301.151
0.27,8.66,72.049,301.575
0.28,9.396,75.068,301.997
0.29,10.161,78.092,302.417
0.3,10.957,81.119,302.837
0.31,11.784,84.152,303.255
# Event LAUNCHROD occurred at t=0.32 seconds
0.32,12.64,87.188,303.672
0.335,13.982,91.75,304.217
0.358,16.124,98.61,305.029
0.391,19.626,108.939,306.234
0.441,25.457,124.3,307.444
0.491,32.057,139.69,308.01
0.541,39.427,155.107,308.528
0.591,47.568,170.55,309.008
0.641,56.482,186.015,309.449
0.691,66.17,201.501,309.851
0.741,76.632,216.977,309.612
0.791,87.867,232.41,308.747
0.841,99.872,247.799,307.838
0.891,112.645,263.141,306.885
0.941,126.185,278.435,305.889
0.991,140.487,293.676,304.823
1.041,155.55,308.824,302.918
1.091,171.367,323.855,300.574
1.141,187.933,338.768,298.184
1.191,205.241,353.561,295.75
1.241,223.286,368.23,293.272
1.291,242.061,382.775,290.751
1.341,261.56,397.192,288.187
1.391,281.777,411.479,285.58
1.441,302.705,425.629,282.78
1.491,324.336,439.612,279.437
1.541,346.662,453.425,276.008
1.591,369.674,467.065,272.541
1.641,393.364,480.53,269.037
1.691,417.723,493.819,265.496
1.741,442.742,506.949,262.27
1.791,468.415,519.943,259.542
1.841,494.733,532.799,256.786
1.891,521.691,545.517,253.996
1.941,549.282,558.095,251.178
1.991,577.498,570.55,248.703
2.041,606.334,582.892,246.44
