Time [s],Primary Continuity,Backup Continuity,Low Voltage [V],High Voltage [V],Linear Acceleration X [m/s^2],Linear Acceleration Y [m/s^2],Linear Acceleration Z [m/s^2],Altitude [m],Flight State,Accleration X [m/s^2],Accleration Y [m/s^2],Accleration Z [m/s^2],Gravity Acceleration X [m/s^2],Gravity Acceleration Y [m/s^2],Gravity Acceleration Z [m/s^2],Magnetic Field Strength X [uT],Magnetic Field Strength Y [uT],Magnetic Field Strength Z [uT],Gyro 1,Gyro 2,Gyro 3,Euler Angles 1,Euler Angles 2,Euler Angles 3,Quaternion 1,Quaternion 2,Quaternion 3,Quaternion 4,High Current [A],TemperaturePressure [hPa],Low Power [W],Low Current [A],High Power [W],,,,
6.68161,0,0,4.12875,0.52625,-0.07,-0.03,-0.35,0.16911,0,0.19,1.16,9.37,0.26,1.2,9.72,-45.25,-116.1875,-132.5,0.00327,-0.01309,-0.00545,0.25,1.5,-7,0.99799,0.0614,-0.01373,-0.00238,-1.25,29.46835,995.84302,350,82.5,0,-0.27294,-9.90481,-0.39025
8.68161,0,0,4.1325,0.50125,-0.1,-0.04,-0.37,0.26423,1,0.13,1.14,9.37,0.25,1.19,9.72,-46,-115.75,-132.25,-0.00436,0,0.00109,0.25,1.5,-7,0.99805,0.06122,-0.01337,-0.00262,0,29.68984,995.85107,290,71.25,0,-0.19393,-9.93593,-0.20111
10.68182,0,0,4.13125,0.47625,-0.06,-0.04,-0.35,0.1374,1,0.18,1.14,9.37,0.25,1.19,9.72,-46.375,-116.5625,-133.25,-0.00109,-0.00327,-0.00218,0.25,1.4375,-7,0.99805,0.06122,-0.01324,-0.00262,0,29.74219,995.85303,320,76.25,0,-0.2873,-9.88087,-0.30646
12.69626,0,0,4.13125,0.4525,-0.12,-0.06,-0.35,0.17967,1,0.12,1.13,9.37,0.25,1.19,9.72,-45.5625,-115.875,-133,-0.00109,0,-0.00109,0.25,1.5,-7,0.99805,0.06122,-0.01337,-0.00262,-1.25,29.77949,995.84375,290,70,0,-0.11013,-9.92636,-0.25139
14.70465,0,0,4.1325,0.43125,-0.09,-0.04,-0.35,0.05285,1,0.16,1.14,9.37,0.25,1.19,9.72,-44.875,-116.5625,-133,0.00327,0.00109,0,0.25,1.5,-7,0.99805,0.06122,-0.01337,-0.00262,-1.25,29.81425,995.89331,310,70,0,-0.25618,-9.96706,-0.31125
16.71115,0,0,4.13125,0.4075,-0.12,-0.06,-0.37,-0.21138,1,0.12,1.12,9.34,0.25,1.19,9.72,-45.6875,-115.0625,-131.875,0,0,0,0.25,1.5,-7,0.99805,0.06122,-0.01331,-0.00262,-1.25,29.84921,995.88208,310,73.75,0,-0.19393,-9.92157,-0.249
18.7182,0,0,4.13125,0.38875,-0.09,-0.02,-0.36,0.24309,1,0.18,1.15,9.37,0.25,1.19,9.72,-45.6875,-115.875,-133.1875,-0.00109,-0.00109,-0.00109,0.25,1.5,-7,0.99805,0.06122,-0.01331,-0.00262,0,29.88652,995.85425,290,71.25,0,-0.22745,-9.93114,-0.32082
20.72473,0,0,4.13125,0.37,-0.1,-0.06,-0.37,-0.29593,1,0.13,1.12,9.38,0.25,1.19,9.72,-45.25,-115.875,-132.375,0,-0.00218,0,0.25,1.5,-7,0.99805,0.06122,-0.01331,-0.00262,-1.25,29.90644,995.86157,310,75,0,-0.15323,-9.9096,-0.30406
22.73145,0,0,4.13125,0.35125,-0.08,-0.07,-0.36,0.04228,1,0.14,1.12,9.34,0.25,1.19,9.72,-45.6875,-115.0625,-133.25,0,-0.00218,0.00218,0.25,1.5,-7,0.99805,0.06122,-0.01331,-0.00262,-1.25,29.93378,995.8396,290,72.5,0,-0.18435,-9.93114,-0.25618
24.73828,0,0,4.13125,0.335,-0.09,-0.04,-0.37,0.19024,1,0.17,1.13,9.35,0.25,1.19,9.72,-45.25,-115.875,-133.25,-0.00109,0.00218,0.00109,0.25,1.5,-7,0.99805,0.06122,-0.01331,-0.00262,0,29.95879,995.83545,290,72.5,0,-0.24421,-9.89762,-0.32801
26.82217,0,0,4.1275,0.3175,-0.1,-0.03,-0.37,-0.04228,1,0.15,1.16,9.35,0.25,1.19,9.72,-46.375,-116.25,-132.375,-0.00327,-0.00109,-0.00218,0.25,1.5,-7,0.99805,0.06122,-0.01331,-0.00262,-1.25,29.93633,995.86182,320,76.25,0,-0.20351,-9.93833,-0.30646
28.82382,0,0,4.13,0.30125,-0.08,-0.07,-0.39,0.28537,1,0.17,1.12,9.33,0.25,1.19,9.72,-47.1875,-116.5625,-132.0625,-0.00109,-0.00218,0.00109,0.25,1.5,-7,0.99805,0.06122,-0.01331,-0.00262,0,30.01093,995.87012,1000,242.5,0,-0.23224,-9.91439,-0.31843
