Time (s),Altitude (ft),Total velocity (ft/s),Total acceleration (ft/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.001,0.299,29.948
0.02,-0.001,0.261,26.113
0.03,0.003,0.578,57.849
0.04,0.02,2.798,221.992
0.05,0.063,5.936,313.87
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.138,9.229,329.406
0.07,0.245,12.44,321.193
0.08,0.384,15.558,311.8
0.09,0.554,18.662,310.501
0.1,0.754,21.758,309.714
0.11,0.985,24.847,308.924
0.12,1.247,27.928,308.132
0.13,1.539,31,307.339
0.14,1.862,34.065,306.543
0.15,2.214,37.122,305.746
0.16,2.598,40.172,305.046
0.17,3.011,43.224,305.27
0.18,3.455,46.28,305.716
0.19,3.929,49.341,306.161
0.2,4.433,52.407,306.605
0.21,4.968,55.477,307.047
0.22,5.533,58.551,307.489
0.23,6.129,61.63,307.929
0.24,6.755,64.713,308.368
0.25,7.412,67.8,308.806
0.26,8.1,70.892,309.243
0.27,8.818,73.988,309.678
0.28,9.567,77.089,310.112
0.29,10.347,80.194,310.545
0.3,11.157,83.303,310.977
# Event LAUNCHROD occurred at t=0.31 seconds
0.31,11.998,86.416,311.407
0.325,13.318,91.095,311.998
0.348,15.428,98.13,312.836
0.381,18.888,108.723,314.08
0.431,24.666,124.488,315.562
0.481,31.224,140.288,316.22
0.531,38.566,156.116,316.764
0.581,46.691,171.97,317.269
0.631,55.601,187.849,317.732
0.681,65.298,203.749,318.155
0.731,75.781,219.651,318.14
0.781,87.05,235.51,317.289
0.831,99.103,251.325,316.37
0.881,111.936,267.093,315.406
0.931,125.549,282.811,314.397
0.981,139.937,298.477,313.342
1.031,155.097,314.059,311.625
1.081,171.024,329.522,309.234
1.131,187.712,344.863,306.795
1.181,205.154,360.081,304.308
1.231,223.344,375.173,301.774
1.281,242.275,390.136,299.191
1.331,261.941,404.968,296.559
1.381,282.336,419.668,293.879
1.431,303.451,434.229,291.073
1.481,325.28,448.623,287.691
1.531,347.814,462.841,284.152
1.581,371.045,476.882,280.57
1.631,394.964,490.742,276.949
1.681,419.563,504.421,273.292
1.731,444.832,517.928,269.816
1.781,470.764,531.292,266.962
1.831,497.352,544.515,264.118
1.881,524.588,557.594,261.243
1.931,552.465,570.528,258.334
1.981,580.976,583.328,255.653
2.031,610.115,596.011,253.302
2.081,639.871,608.431,248.017
