Time (s),Altitude (ft),Total velocity (ft/s),Total acceleration (ft/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.001,0.3,29.957
0.02,-0.001,0.261,26.14
0.03,0.003,0.574,57.426
0.04,0.019,2.782,220.794
0.05,0.063,5.903,312.238
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.137,9.18,327.7
0.07,0.244,12.374,319.525
0.08,0.382,15.475,310.175
0.09,0.551,18.563,308.882
0.1,0.75,21.644,308.097
0.11,0.98,24.716,307.31
0.12,1.24,27.781,306.521
0.13,1.531,30.837,305.73
0.14,1.852,33.886,304.938
0.15,2.203,36.927,304.143
0.16,2.584,39.961,303.446
0.17,2.995,42.997,303.667
0.18,3.437,46.037,304.11
0.19,3.908,49.082,304.552
0.2,4.41,52.131,304.993
0.21,4.942,55.185,305.432
0.22,5.504,58.243,305.87
0.23,6.097,61.306,306.307
0.24,6.72,64.372,306.743
0.25,7.373,67.444,307.178
0.26,8.057,70.519,307.611
0.27,8.771,73.599,308.043
0.28,9.516,76.683,308.474
0.29,10.292,79.772,308.904
0.3,11.098,82.865,309.332
# Event LAUNCHROD occurred at t=0.31 seconds
0.31,11.935,85.962,309.759
0.325,13.248,90.615,310.345
0.348,15.347,97.613,311.176
0.381,18.789,108.15,312.409
0.431,24.536,123.831,313.876
0.481,31.06,139.546,314.522
0.531,38.362,155.288,315.055
0.581,46.444,171.057,315.547
0.631,55.307,186.849,315.998
0.681,64.952,202.663,316.407
0.731,75.379,218.477,316.382
0.781,86.588,234.248,315.522
0.831,98.576,249.975,314.595
0.881,111.341,265.654,313.622
0.931,124.88,281.283,312.604
0.981,139.191,296.859,311.541
1.031,154.27,312.351,309.818
1.081,170.111,327.724,307.424
1.131,186.709,342.976,304.983
1.181,204.057,358.104,302.495
1.231,222.148,373.106,299.96
1.281,240.977,387.979,297.378
1.331,260.536,402.721,294.748
1.381,280.818,417.331,292.071
1.431,301.818,431.801,289.269
1.481,323.527,446.105,285.894
1.531,345.936,460.233,282.361
1.581,369.038,474.184,278.785
1.631,392.823,487.956,275.168
1.681,417.282,501.545,271.513
1.731,442.408,514.963,268.034
1.781,468.192,528.239,265.174
1.831,494.628,541.373,262.323
1.881,521.708,554.363,259.443
1.931,549.426,567.208,256.533
1.981,577.773,579.919,253.856
2.031,606.743,592.514,251.514
2.081,636.327,604.846,246.258
