Time (s),Altitude (ft),Total velocity (ft/s),Total acceleration (ft/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.007,1.312,131.208
0.02,0.034,4.177,286.529
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.091,7.292,311.591
0.04,0.18,10.341,304.981
0.05,0.297,13.196,285.607
0.06,0.443,15.926,273.006
0.07,0.616,18.67,274.413
0.08,0.816,21.432,276.245
0.09,1.045,24.212,278.075
0.1,1.301,27.029,281.787
0.11,1.585,29.903,287.38
0.12,1.899,32.792,289.005
0.13,2.241,35.658,286.658
0.14,2.612,38.525,286.719
0.15,3.012,41.427,290.291
0.16,3.441,44.366,293.893
0.17,3.899,47.34,297.494
0.18,4.388,50.348,300.818
0.19,4.906,53.345,299.768
0.2,5.454,56.317,297.205
0.21,6.032,59.28,296.326
0.22,6.64,62.269,298.926
0.23,7.278,65.285,301.631
0.24,7.946,68.31,302.59
# Event LAUNCHROD occurred at t=0.25 seconds
0.25,8.644,71.328,301.802
0.265,9.748,75.84,300.83
0.288,11.53,82.575,299.357
0.321,14.487,92.664,299.052
0.371,19.497,107.718,301.246
0.421,25.262,122.893,303.585
0.471,31.787,138.113,304.42
0.521,39.076,153.457,306.887
0.571,47.134,168.859,308.007
0.621,55.964,184.334,309.427
0.671,65.566,199.752,308.264
0.721,75.942,215.282,310.462
0.771,87.095,230.84,310.96
0.821,99.022,246.234,307.667
0.871,111.712,261.338,301.816
0.921,125.148,276.121,295.355
0.971,139.318,290.688,291.021
1.021,154.221,305.425,294.376
1.071,169.829,318.884,268.764
1.121,185.961,326.386,149.758
1.171,202.382,330.449,81.081
1.221,218.934,331.637,23.708
1.271,235.526,332.023,7.724
1.321,252.109,331.309,14.251
# Event BURNOUT occurred at t=1.335 seconds
1.335,256.661,330.747,40.829
1.356,263.472,329.727,49.401
1.387,273.649,328.201,49.234
1.433,288.827,325.922,48.985
1.483,305.062,323.479,48.721
1.533,321.175,321.05,48.461
1.583,337.167,318.633,48.204
1.633,353.039,316.229,47.951
1.683,368.79,313.838,47.702
1.733,384.423,311.459,47.455
1.783,399.936,309.092,47.213
1.833,415.332,306.738,46.974
1.883,430.61,304.395,46.738
1.933,445.772,302.064,46.505
1.983,460.817,299.744,46.275
2.033,475.746,297.436,46.049
2.083,490.561,295.139,45.826
2.133,505.26,292.854,45.606
2.183,519.846,290.579,45.388
