Time (s),Altitude (ft),Total velocity (ft/s),Total acceleration (ft/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.007,1.312,131.208
0.02,0.034,4.177,286.529
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.091,7.292,311.591
0.04,0.18,10.341,304.981
0.05,0.297,13.196,285.607
0.06,0.443,15.926,273.006
0.07,0.616,18.67,274.413
0.08,0.816,21.432,276.245
0.09,1.045,24.212,278.075
0.1,1.301,27.029,281.787
0.11,1.585,29.903,287.38
0.12,1.899,32.792,289.005
0.13,2.241,35.658,286.658
0.14,2.612,38.525,286.719
0.15,3.012,41.427,290.291
0.16,3.441,44.366,293.893
0.17,3.899,47.34,297.494
0.18,4.388,50.348,300.818
0.19,4.906,53.345,299.768
0.2,5.454,56.317,297.205
0.21,6.032,59.28,296.326
0.22,6.64,62.269,298.926
0.23,7.278,65.285,301.631
0.24,7.946,68.31,302.59
0.25,8.644,71.328,301.802
0.26,9.372,74.338,301.011
0.27,10.131,77.339,300.217
0.28,10.919,80.333,299.419
0.29,11.737,83.319,298.619
# Event LAUNCHROD occurred at t=0.3 seconds
0.3,12.586,86.304,298.482
0.315,13.914,90.79,299.156
0.338,16.033,97.542,300.156
0.371,19.496,107.718,301.632
0.421,25.261,122.892,303.585
0.471,31.786,138.111,304.42
0.521,39.076,153.455,306.887
0.571,47.133,168.857,308.008
0.621,55.963,184.332,309.428
0.671,65.565,199.751,308.265
0.721,75.941,215.281,310.462
0.771,87.094,230.838,310.96
0.821,99.021,246.233,307.667
0.871,111.711,261.337,301.816
0.921,125.147,276.119,295.355
0.971,139.317,290.687,291.021
1.021,154.22,305.424,294.376
1.071,169.828,318.883,268.764
1.121,185.96,326.385,149.758
1.171,202.381,330.448,81.081
1.221,218.933,331.635,23.709
1.271,235.524,332.022,7.724
1.321,252.108,331.307,14.251
# Event BURNOUT occurred at t=1.335 seconds
1.335,256.659,330.746,40.828
1.356,263.47,329.725,49.401
1.387,273.648,328.2,49.234
1.433,288.825,325.921,48.985
1.483,305.06,323.478,48.721
1.533,321.173,321.049,48.461
1.583,337.165,318.632,48.204
1.633,353.037,316.228,47.951
1.683,368.788,313.837,47.701
1.733,384.42,311.458,47.455
1.783,399.934,309.091,47.213
1.833,415.33,306.737,46.973
1.883,430.608,304.394,46.737
1.933,445.769,302.063,46.505
1.983,460.814,299.743,46.275
