Time (s),Altitude (ft),Total velocity (ft/s),Total acceleration (ft/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.007,1.312,131.208
0.02,0.034,4.177,286.529
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.091,7.292,311.591
0.04,0.18,10.341,304.98
0.05,0.297,13.196,285.607
0.06,0.443,15.926,273.006
0.07,0.616,18.67,274.413
0.08,0.816,21.432,276.244
0.09,1.045,24.212,278.074
0.1,1.301,27.029,281.786
0.11,1.585,29.903,287.378
0.12,1.899,32.792,289.003
0.13,2.241,35.658,286.655
0.14,2.612,38.525,286.716
0.15,3.012,41.427,290.288
0.16,3.441,44.366,293.889
0.17,3.899,47.34,297.489
0.18,4.388,50.348,300.813
0.19,4.906,53.345,299.762
0.2,5.454,56.317,297.199
0.21,6.032,59.279,296.319
0.22,6.64,62.268,298.919
0.23,7.278,65.284,301.623
0.24,7.946,68.309,302.581
# Event LAUNCHROD occurred at t=0.25 seconds
0.25,8.644,71.327,301.793
0.265,9.748,75.839,300.819
0.288,11.53,82.574,299.344
0.321,14.487,92.662,299.036
0.371,19.496,107.715,301.223
0.421,25.261,122.889,303.556
0.471,31.786,138.107,304.384
0.521,39.075,153.449,306.842
0.571,47.133,168.849,307.953
0.621,55.962,184.32,309.362
0.671,65.563,199.735,308.188
0.721,75.938,215.262,310.373
0.771,87.09,230.814,310.858
0.821,99.016,246.203,307.55
0.871,111.704,261.301,301.685
0.921,125.138,276.076,295.208
0.971,139.306,290.636,290.859
1.021,154.206,305.365,294.197
1.071,169.811,318.814,268.569
1.121,185.939,326.307,149.555
1.171,202.356,330.359,80.874
1.221,218.903,331.536,23.5
1.271,235.489,331.913,7.516
1.321,252.067,331.188,14.457
# Event BURNOUT occurred at t=1.335 seconds
1.335,256.617,330.623,41.034
1.356,263.425,329.599,49.605
1.387,273.599,328.067,49.435
1.433,288.77,325.778,49.182
1.483,304.997,323.326,48.915
1.533,321.103,320.887,48.65
1.583,337.086,318.461,48.39
1.633,352.949,316.048,48.133
1.683,368.691,313.648,47.88
1.733,384.314,311.26,47.63
1.783,399.817,308.884,47.384
1.833,415.203,306.521,47.142
1.883,430.47,304.17,46.902
1.933,445.62,301.831,46.666
1.983,460.653,299.504,46.433
2.033,475.57,297.188,46.204
2.083,490.372,294.883,45.978
2.133,505.059,292.59,45.754
2.183,519.631,290.308,45.534
