Time [s],Temperature [deg C],Pressure [hPa],Altitude [m],Accleration X [m/s^2],Accleration Y [m/s^2],Accleration Z [m/s^2],Linear Acceleration X [m/s^2],Linear Acceleration Y [m/s^2],Linear Acceleration Z [m/s^2],Gravity Acceleration X [m/s^2],Gravity Acceleration Y [m/s^2],Gravity Acceleration Z [m/s^2],Magnetic Field Strength X [uT],Magnetic Field Strength Y [uT],Magnetic Field Strength Z [uT],Gyro 1,Gyro 2,Gyro 3,Euler Angles 1,Euler Angles 2,Euler Angles 3,Quaternion 1,Quaternion 2,Quaternion 3,Quaternion 4
0.0009217262268066406,19.35390625,983.4300277620139,0.2840243656659891,-3.84,0.52,8.64,0.09,0.0,-0.3,-3.99,0.5700000000000001,8.93,-81.375,50.25,29.375,-0.003272492347489368,-0.002181661564992912,0.0,0.0,-24.0,-3.6875,0.97760009765625,0.0301513671875,0.208251953125,0.0
0.2660689353942871,19.46171875,983.4579649329312,0.30807330081841,-3.87,0.45,8.64,0.11,-0.12,-0.29,-3.99,0.5700000000000001,8.93,-81.75,50.25,31.0,-0.001090830782496456,-0.003272492347489368,0.001090830782496456,0.0,-24.0,-3.6875,0.97760009765625,0.0301513671875,0.208251953125,0.0
0.5277500152587891,19.509375,983.421350269506,0.3465893717750257,-3.8200000000000003,0.59,8.63,0.16,0.01,-0.3,-3.99,0.5700000000000001,8.93,-81.75,50.5625,29.5,-0.006544984694978736,-0.001090830782496456,-0.002181661564992912,0.0,-24.0,-3.6875,0.97760009765625,0.03009033203125,0.20819091796875,0.0
0.7923276424407959,19.534375,983.4333008320693,0.25835714317207104,-3.85,0.53,8.65,0.13,-0.04,-0.28,-3.99,0.5700000000000001,8.93,-80.6875,51.0,29.5,-0.001090830782496456,-0.003272492347489368,0.0,0.0,-24.0,-3.6875,0.97760009765625,0.03009033203125,0.20819091796875,0.0
1.057478904724121,19.5494140625,983.4014999219246,0.27109775207984743,-3.84,0.54,8.61,0.15,-0.03,-0.31,-3.99,0.5700000000000001,8.93,-80.6875,51.0,29.875,-0.00545415391248228,0.003272492347489368,-0.002181661564992912,0.0,-24.0,-3.6875,0.97760009765625,0.03009033203125,0.20819091796875,0.0
1.32114839553833,19.5619140625,983.4356821820454,-0.08395918425356363,-3.99,0.55,8.93,0.0,-0.02,0.0,-3.99,0.5700000000000001,8.93,-81.375,51.25,29.875,0.001090830782496456,0.001090830782496456,0.0,0.0,-24.0,-3.6875,0.97760009765625,0.03009033203125,0.20819091796875,0.0
1.5835392475128174,19.5443359375,983.4634627167293,-0.1192271092603181,-3.96,0.55,8.950000000000001,0.02,-0.02,0.01,-3.99,0.5700000000000001,8.93,-82.1875,50.5625,30.25,0.004363323129985824,-0.003272492347489368,0.0,0.0,-24.0,-3.6875,0.97760009765625,0.03009033203125,0.20819091796875,0.0
1.8494267463684082,19.5544921875,983.4701103879289,-0.24617964091969924,-3.97,0.56,8.9,0.01,0.02,-0.05,-3.99,0.5700000000000001,8.93,-81.0625,51.0,29.5,0.002181661564992912,-0.004363323129985824,0.002181661564992912,0.0,-24.0,-3.6875,0.97760009765625,0.03009033203125,0.20819091796875,0.0
2.113797903060913,19.5794921875,983.4751861727106,-0.35693111750387363,-4.0,0.53,8.97,0.0,-0.04,0.04,-3.99,0.5700000000000001,8.93,-82.1875,50.25,29.875,-0.001090830782496456,0.001090830782496456,0.001090830782496456,0.0,-24.0,-3.6875,0.97760009765625,0.03009033203125,0.20819091796875,0.0
2.3774149417877197,19.5970703125,983.4286502676888,0.2703797940262609,-3.96,0.53,8.92,0.02,-0.04,-0.01,-3.99,0.5700000000000001,8.93,-81.75,50.5625,29.875,-0.003272492347489368,0.001090830782496456,-0.002181661564992912,0.0,-24.0,-3.6875,0.97760009765625,0.03009033203125,0.20819091796875,0.0
2.642454147338867,19.564453125,983.4855404968508,0.14896990786309794,-4.0,0.56,8.89,0.01,0.0,-0.01,-3.99,0.5700000000000001,8.93,-81.0625,51.0,29.875,0.0,-0.001090830782496456,0.001090830782496456,0.0,-24.0,-3.6875,0.97760009765625,0.03009033203125,0.20819091796875,0.0
2.907089948654175,19.5845703125,983.4685381817083,0.029377839169494324,-3.95,0.54,8.91,0.03,-0.03,-0.02,-3.99,0.5700000000000001,8.93,-82.1875,51.0,30.5625,0.006544984694978736,-0.001090830782496456,0.00545415391248228,359.9375,-24.0,-3.625,0.97760009765625,0.02996826171875,0.20819091796875,0.0
3.1716387271881104,19.6021484375,983.4531952018849,0.03960925876412724,-3.97,0.54,8.93,0.01,-0.02,0.0,-3.99,0.5700000000000001,8.93,-81.75,51.0,30.25,0.0,-0.002181661564992912,-0.002181661564992912,359.9375,-24.0,-3.625,0.97760009765625,0.02996826171875,0.20819091796875,0.0
3.4363858699798584,19.6220703125,983.4823236886216,0.3050078082100549,-3.93,0.56,8.9,0.2,-0.11,-0.14,-3.99,0.5700000000000001,8.93,-82.1875,51.0,29.875,0.001090830782496456,0.007635815477475192,-0.002181661564992912,359.9375,-24.0,-3.625,0.97760009765625,0.02996826171875,0.20819091796875,0.0
3.704888343811035,19.6421875,983.4421121710853,0.26306217430713263,-3.99,0.5,8.83,0.0,-0.07,-0.1,-3.99,0.5700000000000001,8.93,-82.1875,50.25,29.5,-0.006544984694978736,0.002181661564992912,-0.004363323129985824,359.9375,-24.0,-3.625,0.97760009765625,0.0299072265625,0.20819091796875,0.0
3.9779207706451416,19.6646484375,983.4369639749606,0.25217969723532296,-3.98,0.54,8.92,0.01,-0.02,-0.01,-3.99,0.5700000000000001,8.93,-82.1875,50.5625,29.875,-0.004363323129985824,0.004363323129985824,-0.001090830782496456,359.9375,-24.0,-3.625,0.97760009765625,0.0299072265625,0.20819091796875,0.0
4.249055624008179,19.6796875,983.4476438677893,0.20196627747827156,-3.97,0.5700000000000001,8.91,0.01,0.0,-0.02,-3.99,0.5700000000000001,8.93,-81.75,50.5625,30.5625,0.001090830782496456,0.0,-0.001090830782496456,359.9375,-24.0,-3.625,0.97760009765625,0.0299072265625,0.20819091796875,0.0
4.521721839904785,19.697265625,983.4667972508345,0.34598459235200996,-3.97,0.56,8.92,0.01,0.0,-0.01,-3.99,0.5700000000000001,8.93,-80.6875,50.5625,29.875,0.002181661564992912,0.003272492347489368,0.003272492347489368,359.9375,-24.0,-3.625,0.97760009765625,0.0299072265625,0.20819091796875,0.0
4.794047117233276,19.719921875,983.4730526586127,-0.1659745119221201,-3.98,0.56,8.91,0.0,-0.01,-0.02,-3.99,0.5700000000000001,8.93,-81.375,50.5625,29.5,0.0,0.0,0.001090830782496456,359.9375,-24.0,-3.625,0.97760009765625,0.0299072265625,0.20819091796875,0.0
5.067188739776611,19.732421875,983.484524555562,0.3094910618322455,-3.98,0.54,8.91,0.03,-0.04,0.0,-3.99,0.5700000000000001,8.93,-82.1875,50.5625,29.875,0.0,0.002181661564992912,-0.003272492347489368,359.9375,-24.0,-3.625,0.97760009765625,-1.9700927734375,0.20819091796875,0.0
5.33849024772644,19.7525390625,983.4477860317431,0.08275767840607795,-3.97,0.5700000000000001,8.92,0.0,0.0,-0.01,-3.99,0.5700000000000001,8.93,-82.1875,50.25,29.5,0.0,0.001090830782496456,-0.001090830782496456,359.9375,-24.0,-3.625,0.97760009765625,0.0299072265625,0.20819091796875,0.0
5.610377073287964,19.757421875,983.4766809321601,0.08820310444216717,-3.98,0.53,8.92,0.02,-0.05,-0.02,-3.99,0.5700000000000001,8.93,-80.6875,50.5625,29.0625,0.0,0.003272492347489368,-0.001090830782496456,359.9375,-24.0,-3.625,0.97760009765625,0.0299072265625,0.20819091796875,0.0
5.881452322006226,19.775,983.4769132423221,0.00750894847168504,-3.97,0.54,8.93,-0.01,0.01,0.0,-3.99,0.5700000000000001,8.93,-82.1875,51.0,30.25,0.004363323129985824,0.0,0.001090830782496456,359.9375,-24.0,-3.625,0.97760009765625,0.0299072265625,0.20819091796875,0.0
6.150722980499268,19.792578125,983.4437267279023,0.24600296302861535,-3.98,0.56,8.92,0.0,-0.01,0.0,-3.99,0.5700000000000001,8.93,-80.6875,51.375,29.875,-0.004363323129985824,-0.001090830782496456,-0.003272492347489368,359.9375,-24.0,-3.625,0.97760009765625,0.0299072265625,0.20819091796875,0.0
6.4230170249938965,19.8025390625,983.4264695132936,0.3193245783368137,-3.94,0.55,8.93,0.04,0.0,-0.04,-3.99,0.5700000000000001,8.93,-81.75,50.5625,28.75,-0.001090830782496456,0.002181661564992912,-0.001090830782496456,359.9375,-24.0,-3.625,0.97760009765625,0.0299072265625,0.20819091796875,0.0
6.694931268692017,19.8025390625,983.4318560264361,-0.04265612634330784,-3.97,0.6,8.91,0.02,0.02,-0.01,-3.99,0.5700000000000001,8.93,-81.75,51.0,29.875,0.0,0.0,0.001090830782496456,359.9375,-24.0,-3.625,0.97760009765625,0.0299072265625,0.20819091796875,0.0
6.965363025665283,19.8150390625,983.4637381130649,-0.03375521051492747,-3.98,0.56,8.94,0.02,-0.01,-0.03,-3.99,0.5700000000000001,8.93,-81.75,50.25,31.0625,0.0,-0.001090830782496456,-0.002181661564992912,359.9375,-24.0,-3.625,0.97760009765625,0.0299072265625,0.20819091796875,0.0
7.236607789993286,19.8326171875,983.4656290166777,0.20135572134471702,-3.95,0.5700000000000001,8.91,-0.02,-0.06,0.03,-3.99,0.5700000000000001,8.93,-81.375,51.0,29.0625,-0.004363323129985824,0.004363323129985824,0.0,359.9375,-24.0,-3.625,0.97760009765625,0.0299072265625,0.20819091796875,0.0
