#version,serial,flight,call,time,rssi,lqi,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 11026, 11,KE8EXM,    -1.94, -60,   7, 3,   boost,   -0.00,  98305.00,  254.48,   -0.51,    0.00, 23.0, 4.08, 4.08, 4.09,   9.83,  -0.04,  -0.59,   0.49,  -0.12,   0.00,  -0.25,   0.21,   0.15,   2.00, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  9,  39.7297918, -83.7075310,   328.0, 2025, 11, 23, 18, 17, 39,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0,  0, 20, 16,  0,  0, 29, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 27, 32, 13,  0,  0, 19,  0
6, 11026, 11,KE8EXM,    -1.94, -61,   8, 3,   boost,   -0.00,  98305.00,  254.48,   -0.51,    0.00, 23.0, 4.08, 4.08, 4.09,   9.83,  -0.04,  -0.59,   0.49,  -0.12,   0.00,  -0.25,   0.21,   0.15,   2.00, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  9,  39.7297918, -83.7075310,   328.0, 2025, 11, 23, 18, 17, 39,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0,  0, 20, 16,  0,  0, 29, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 27, 32, 13,  0,  0, 19,  0
6, 11026, 11,KE8EXM,    -1.32, -60,   9, 3,   boost,   -0.00,  98305.00,  254.48,   -0.51,    0.00, 23.0, 4.08, 4.08, 4.09,   9.83,  -0.04,  -0.59,   0.49,  -0.12,   0.00,  -0.25,   0.21,   0.15,   2.00, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  9,  39.7297918, -83.7075310,   328.0, 2025, 11, 23, 18, 17, 39,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0,  0, 20, 16,  0,  0, 29, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 27, 32, 13,  0,  0, 19,  0
6, 11026, 11,KE8EXM,    -1.24, -60,   9, 3,   boost,   -0.00,  98305.00,  254.48,   -0.51,    0.00, 23.0, 4.08, 4.08, 4.09,   9.83,  -0.04,  -0.59,   0.49,  -0.12,   0.00,  -0.25,   0.21,   0.15,   2.00, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  9,  39.7297918, -83.7075310,   328.0, 2025, 11, 23, 18, 17, 39,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0,  0, 20, 16,  0,  0, 29, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 27, 32, 13,  0,  0, 19,  0
6, 11026, 11,KE8EXM,    -0.31, -60,   5, 3,   boost,   -1.47,  98303.00,  254.65,   -0.34,    0.00, 23.0, 4.08, 4.08, 4.09,   9.81,  -0.01,  -0.63,   0.61,   0.06,  -0.06,  -0.25,   0.21,   0.15,   2.00, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  9,  39.7297918, -83.7075310,   328.0, 2025, 11, 23, 18, 17, 39,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0,  0, 20, 16,  0,  0, 29, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 27, 32, 13,  0,  0, 19,  0
6, 11026, 11,KE8EXM,    -0.08, -60,   8, 3,   boost,   99.05,  98297.00,  255.16,    0.17,   10.46, 23.0, 4.08, 4.08, 4.09, 109.94,  -1.72,   4.20, -21.24,   3.60,   1.22,  -0.25,   0.22,   0.15,   2.00, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  9,  39.7297918, -83.7075310,   328.0, 2025, 11, 23, 18, 17, 39,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0,  0, 20, 16,  0,  0, 29, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 27, 32, 13,  0,  0, 19,  0
6, 11026, 11,KE8EXM,     0.00, -62,   7, 3,   boost,   99.05,  98297.00,  255.16,    0.17,   10.46, 23.0, 4.08, 4.08, 4.09, 109.94,  -1.72,   4.20, -21.24,   3.60,   1.22,  -0.25,   0.22,   0.15,   2.00, 4.11, 0.00, 0.00, 0.00, 0.00, 1, 1,  9,  39.7297918, -83.7075310,   328.0, 2025, 11, 23, 18, 17, 39,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0,  0, 21, 17,  0,  0, 31, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 32, 10,  0,  0, 19,  0
6, 11026, 11,KE8EXM,     0.00, -62,   8, 3,   boost,   99.05,  98297.00,  255.16,    0.17,   10.46, 23.0, 4.08, 4.08, 4.09, 109.94,  -1.72,   4.20, -21.24,   3.60,   1.22,  -0.25,   0.22,   0.15,   2.00, 4.11, 0.00, 0.00, 0.00, 0.00, 1, 1,  9,  39.7297918, -83.7075310,   328.0, 2025, 11, 23, 18, 17, 39,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0,  0, 21, 17,  0,  0, 31, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 32, 10,  0,  0, 19,  0
6, 11026, 11,KE8EXM,     0.06, -57,   6, 3,   boost,   99.05,  98297.00,  255.16,    0.17,   10.46, 23.0, 4.08, 4.08, 4.09, 109.94,  -1.72,   4.20, -21.24,   3.60,   1.22,  -0.25,   0.22,   0.15,   2.00, 4.11, 0.00, 0.00, 0.00, 0.00, 1, 1,  9,  39.7297995, -83.7075434,   330.0, 2025, 11, 23, 18, 17, 41,        1,        2, 309,  56,   1.5,   0.8,   1.3,  0,  0, 21, 17,  0,  0, 31, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 32, 10,  0,  0, 19,  0
6, 11026, 11,KE8EXM,     0.06, -57,  10, 3,   boost,   99.05,  98297.00,  255.16,    0.17,   10.46, 23.0, 4.08, 4.08, 4.09, 109.94,  -1.72,   4.20, -21.24,   3.60,   1.22,  -0.25,   0.22,   0.15,   2.00, 4.11, 0.00, 0.00, 0.00, 0.00, 1, 1,  9,  39.7297995, -83.7075434,   330.0, 2025, 11, 23, 18, 17, 41,        1,        2, 309,  56,   1.5,   0.8,   1.3,  0,  0, 21, 17,  0,  0, 31, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 32, 10,  0,  0, 19,  0
6, 11026, 11,KE8EXM,     0.43, -56,   7, 3,   boost,  101.50,  97980.00,  282.24,   27.25,   60.62, 23.0, 4.08, 4.08, 4.09, 115.30, -10.81,   4.61,  -4.39, -38.33,  28.44,  -0.21,   0.10,   0.28,  15.00, 4.11, 0.00, 0.00, 0.00, 0.00, 1, 1,  9,  39.7297995, -83.7075434,   330.0, 2025, 11, 23, 18, 17, 41,        1,        2, 309,  56,   1.5,   0.8,   1.3,  0,  0, 21, 17,  0,  0, 31, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 32, 10,  0,  0, 19,  0
6, 11026, 11,KE8EXM,     0.51, -56,   8, 3,   boost,  101.50,  97980.00,  282.24,   27.25,   60.62, 23.0, 4.08, 4.08, 4.09, 115.30, -10.81,   4.61,  -4.39, -38.33,  28.44,  -0.21,   0.10,   0.28,  15.00, 4.11, 0.00, 0.00, 0.00, 0.00, 1, 1,  9,  39.7297995, -83.7075434,   330.0, 2025, 11, 23, 18, 17, 41,        1,        2, 309,  56,   1.5,   0.8,   1.3,  0,  0, 21, 17,  0,  0, 31, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 32, 10,  0,  0, 19,  0
6, 11026, 11,KE8EXM,     0.94, -57,  11, 3,   boost,   11.77,  97506.00,  322.87,   67.87,   88.47, 22.9, 4.08, 4.08, 4.09,  27.32,  -3.42,   9.53, 343.32,   7.14,   8.30,  -0.22,   0.15,   0.21,   9.00, 4.11, 0.00, 0.00, 0.00, 0.00, 1, 1,  9,  39.7297995, -83.7075434,   330.0, 2025, 11, 23, 18, 17, 41,        1,        2, 309,  56,   1.5,   0.8,   1.3,  0,  0, 21, 17,  0,  0, 31, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 32, 10,  0,  0, 19,  0
6, 11026, 11,KE8EXM,     1.02, -59,   5, 3,   boost,   11.77,  97506.00,  322.87,   67.87,   88.47, 22.9, 4.08, 4.08, 4.09,  27.32,  -3.42,   9.53, 343.32,   7.14,   8.30,  -0.22,   0.15,   0.21,   9.00, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  9,  39.7297995, -83.7075434,   330.0, 2025, 11, 23, 18, 17, 41,        1,        2, 309,  56,   1.5,   0.8,   1.3,  0,  0, 22, 17,  0,  0, 30, 27, 28,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 27, 11,  0,  0, 18,  0
6, 11026, 11,KE8EXM,     1.02, -63,   9, 3,   boost,   11.77,  97506.00,  322.87,   67.87,   88.47, 22.9, 4.08, 4.08, 4.09,  27.32,  -3.42,   9.53, 343.32,   7.14,   8.30,  -0.22,   0.15,   0.21,   9.00, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  9,  39.7297995, -83.7075434,   330.0, 2025, 11, 23, 18, 17, 41,        1,        2, 309,  56,   1.5,   0.8,   1.3,  0,  0, 22, 17,  0,  0, 30, 27, 28,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 27, 11,  0,  0, 18,  0
6, 11026, 11,KE8EXM,     1.06, -63,   8, 3,   boost,   11.77,  97506.00,  322.87,   67.87,   88.47, 22.9, 4.08, 4.08, 4.09,  27.32,  -3.42,   9.53, 343.32,   7.14,   8.30,  -0.22,   0.15,   0.21,   9.00, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  9,  39.7298949, -83.7074315,   320.0, 2025, 11, 23, 18, 17, 42,       14,       16,  37, -29,   1.5,   0.8,   1.3,  0,  0, 22, 17,  0,  0, 30, 27, 28,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 27, 11,  0,  0, 18,  0
6, 11026, 11,KE8EXM,     1.45, -68,   8, 3,   boost,  -14.71,  96977.00,  368.39,  113.40,   87.67, 22.9, 4.08, 4.08, 4.09,  -4.71,  -1.53,   3.38, 550.23,  25.15, -11.66,  -0.21,  -0.01,   0.38,  11.00, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  9,  39.7298949, -83.7074315,   320.0, 2025, 11, 23, 18, 17, 42,       14,       16,  37, -29,   1.5,   0.8,   1.3,  0,  0, 22, 17,  0,  0, 30, 27, 28,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 27, 11,  0,  0, 18,  0
6, 11026, 11,KE8EXM,     1.53, -66,   7, 5,   coast,  -14.71,  96977.00,  368.39,  113.40,   87.67, 22.9, 4.08, 4.08, 4.10,  -4.71,  -1.53,   3.38, 550.23,  25.15, -11.66,  -0.21,  -0.01,   0.38,  11.00, 4.10, 0.00, 0.00, 0.00, 0.00, 1, 1,  9,  39.7298949, -83.7074315,   320.0, 2025, 11, 23, 18, 17, 42,       14,       16,  37, -29,   1.5,   0.8,   1.3,  0,  0, 22, 17,  0,  0, 30, 27, 28,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 27, 11,  0,  0, 18,  0
6, 11026, 11,KE8EXM,     1.96, -66,   5, 5,   coast,  -13.73,  96417.00,  416.81,  161.81,   80.45, 22.8, 4.08, 4.08, 4.10,  -3.95,  -3.94,   3.10, 554.02,  16.17, -15.20,  -0.22,  -0.12,   0.28,   8.00, 4.10, 0.00, 0.00, 0.00, 0.00, 1, 1,  9,  39.7298949, -83.7074315,   320.0, 2025, 11, 23, 18, 17, 42,       14,       16,  37, -29,   1.5,   0.8,   1.3,  0,  0, 22, 17,  0,  0, 30, 27, 28,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 27, 11,  0,  0, 18,  0
6, 11026, 11,KE8EXM,     2.04, -66,   9, 5,   coast,  -13.73,  96417.00,  416.81,  161.81,   80.45, 22.8, 4.08, 4.08, 4.09,  -3.95,  -3.94,   3.10, 554.02,  16.17, -15.20,  -0.22,  -0.12,   0.28,   8.00, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  9,  39.7298949, -83.7074315,   320.0, 2025, 11, 23, 18, 17, 42,       14,       16,  37, -29,   1.5,   0.8,   1.3,  0,  0, 23, 14,  0,  0, 21, 26, 22,  0,  0,  0,  0,  0,  0, 21,  0,  0,  0,  0,  0,  0,  0,  0,  0, 21, 10, 28,  0,  0, 15,  0
6, 11026, 11,KE8EXM,     2.04, -68,   7, 5,   coast,  -13.73,  96417.00,  416.81,  161.81,   80.45, 22.8, 4.08, 4.08, 4.09,  -3.95,  -3.94,   3.10, 554.02,  16.17, -15.20,  -0.22,  -0.12,   0.28,   8.00, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  9,  39.7298949, -83.7074315,   320.0, 2025, 11, 23, 18, 17, 42,       14,       16,  37, -29,   1.5,   0.8,   1.3,  0,  0, 23, 14,  0,  0, 21, 26, 22,  0,  0,  0,  0,  0,  0, 21,  0,  0,  0,  0,  0,  0,  0,  0,  0, 21, 10, 28,  0,  0, 15,  0
6, 11026, 11,KE8EXM,     2.06, -68,   9, 5,   coast,  -13.73,  96417.00,  416.81,  161.81,   80.45, 22.8, 4.08, 4.08, 4.09,  -3.95,  -3.94,   3.10, 554.02,  16.17, -15.20,  -0.22,  -0.12,   0.28,   8.00, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  8,  39.7301090, -83.7072576,   323.0, 2025, 11, 23, 18, 17, 43,       42,       43,  34,  -7,   1.6,   0.9,   1.3,  0,  0, 23, 14,  0,  0, 21, 26, 22,  0,  0,  0,  0,  0,  0, 21,  0,  0,  0,  0,  0,  0,  0,  0,  0, 21, 10, 28,  0,  0, 15,  0
6, 11026, 11,KE8EXM,     2.47, -78,   5, 5,   coast,  -11.77,  95943.00,  457.96,  202.97,   73.97, 22.8, 4.08, 4.08, 4.09,  -3.36,  -2.44,   4.32, 528.02,  19.90, -10.25,  -0.22,  -0.01,   0.14,   8.00, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  8,  39.7301090, -83.7072576,   323.0, 2025, 11, 23, 18, 17, 43,       42,       43,  34,  -7,   1.6,   0.9,   1.3,  0,  0, 23, 14,  0,  0, 21, 26, 22,  0,  0,  0,  0,  0,  0, 21,  0,  0,  0,  0,  0,  0,  0,  0,  0, 21, 10, 28,  0,  0, 15,  0
6, 11026, 11,KE8EXM,     2.55, -73,   6, 5,   coast,  -11.77,  95943.00,  457.96,  202.97,   73.97, 22.8, 4.08, 4.08, 4.09,  -3.36,  -2.44,   4.32, 528.02,  19.90, -10.25,  -0.22,  -0.01,   0.14,   8.00, 4.09, 0.00, 0.00, 0.00, 0.18, 1, 1,  8,  39.7301090, -83.7072576,   323.0, 2025, 11, 23, 18, 17, 43,       42,       43,  34,  -7,   1.6,   0.9,   1.3,  0,  0, 23, 14,  0,  0, 21, 26, 22,  0,  0,  0,  0,  0,  0, 21,  0,  0,  0,  0,  0,  0,  0,  0,  0, 21, 10, 28,  0,  0, 15,  0
6, 11026, 11,KE8EXM,     2.98, -67,   7, 5,   coast,  -12.75,  95480.00,  498.33,  243.33,   67.74, 22.8, 4.08, 4.08, 4.09,  -2.81,  -1.82,   0.96, 482.24,  13.43, -10.86,  -0.21,   0.12,   0.29,  13.00, 4.09, 0.00, 0.00, 0.00, 0.18, 1, 1,  8,  39.7301090, -83.7072576,   323.0, 2025, 11, 23, 18, 17, 43,       42,       43,  34,  -7,   1.6,   0.9,   1.3,  0,  0, 23, 14,  0,  0, 21, 26, 22,  0,  0,  0,  0,  0,  0, 21,  0,  0,  0,  0,  0,  0,  0,  0,  0, 21, 10, 28,  0,  0, 15,  0
6, 11026, 11,KE8EXM,     3.06, -67,   7, 5,   coast,  -12.75,  95480.00,  498.33,  243.33,   67.74, 22.8, 4.08, 4.08, 4.09,  -2.81,  -1.82,   0.96, 482.24,  13.43, -10.86,  -0.21,   0.12,   0.29,  13.00, 4.10, 0.00, 0.00, 0.00, 0.00, 1, 1,  8,  39.7301090, -83.7072576,   323.0, 2025, 11, 23, 18, 17, 43,       42,       43,  34,  -7,   1.6,   0.9,   1.3,  0,  0, 26,  0,  0,  0, 29, 25, 23,  0,  0,  0,  0,  0,  0, 14,  0,  0,  0,  0,  0,  0,  0,  0,  0, 15,  9, 27,  0,  0, 12,  0
