#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 11026, 11,KE8EXM,    -0.30, 3,   boost,   -0.00,  98311.00,  253.97,   -1.02,    0.00, 23.0, 4.11, 4.08, 4.09,   9.89,  -0.07,  -0.51,   2.30,  -0.01,   0.01,  -0.25,   0.21,   0.15,   2.79, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  8,  39.7297937, -83.7075286,   328.0, 2025, 11, 23, 18, 17, 40,        0,        0,   0,   0,   1.9,   1.0,   1.7,  0,  0, 21, 17,  0,  0, 31, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 32, 10,  0,  0, 19,  0
6, 11026, 11,KE8EXM,    -0.29, 3,   boost,   -0.00,  98311.00,  253.97,   -1.02,    0.00, 23.0, 4.11, 4.08, 4.09,   9.90,  -0.06,  -0.50,   2.48,   0.18,  -0.05,  -0.25,   0.21,   0.15,   2.79, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  8,  39.7297937, -83.7075286,   328.0, 2025, 11, 23, 18, 17, 40,        0,        0,   0,   0,   1.9,   1.0,   1.7,  0,  0, 21, 17,  0,  0, 31, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 32, 10,  0,  0, 19,  0
6, 11026, 11,KE8EXM,    -0.28, 3,   boost,   -0.98,  98300.00,  254.91,   -0.09,    0.00, 23.0, 4.11, 4.08, 4.09,   9.85,  -0.06,  -0.48,   2.48,  -0.19,  -0.24,  -0.25,   0.21,   0.15,   2.79, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  8,  39.7297937, -83.7075286,   328.0, 2025, 11, 23, 18, 17, 40,        0,        0,   0,   0,   1.9,   1.0,   1.7,  0,  0, 21, 17,  0,  0, 31, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 32, 10,  0,  0, 19,  0
6, 11026, 11,KE8EXM,    -0.27, 3,   boost,   -1.96,  98300.00,  254.91,   -0.09,    0.00, 23.0, 4.11, 4.08, 4.09,   9.83,  -0.05,  -0.52,   2.67,   0.24,  -0.48,  -0.25,   0.21,   0.15,   2.79, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  8,  39.7297937, -83.7075286,   328.0, 2025, 11, 23, 18, 17, 40,        0,        0,   0,   0,   1.9,   1.0,   1.7,  0,  0, 21, 17,  0,  0, 31, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 32, 10,  0,  0, 19,  0
6, 11026, 11,KE8EXM,    -0.26, 3,   boost,   -0.98,  98308.00,  254.22,   -0.77,    0.00, 23.0, 4.11, 4.08, 4.09,   9.84,  -0.03,  -0.50,   2.30,   0.24,   0.01,  -0.25,   0.21,   0.15,   2.79, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  8,  39.7297937, -83.7075286,   328.0, 2025, 11, 23, 18, 17, 40,        0,        0,   0,   0,   1.9,   1.0,   1.7,  0,  0, 21, 17,  0,  0, 31, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 32, 10,  0,  0, 19,  0
6, 11026, 11,KE8EXM,    -0.25, 3,   boost,   -0.49,  98308.00,  254.22,   -0.77,    0.00, 23.0, 4.11, 4.08, 4.09,   9.86,  -0.06,  -0.57,   1.94,  -0.13,  -0.24,  -0.25,   0.21,   0.15,   2.79, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  8,  39.7297937, -83.7075286,   328.0, 2025, 11, 23, 18, 17, 40,        0,        0,   0,   0,   1.9,   1.0,   1.7,  0,  0, 21, 17,  0,  0, 31, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 32, 10,  0,  0, 19,  0
6, 11026, 11,KE8EXM,    -0.24, 3,   boost,   -0.49,  98303.00,  254.65,   -0.34,    0.00, 23.0, 4.11, 4.08, 4.09,   9.86,  -0.04,  -0.54,   1.57,  -0.07,  -0.05,  -0.25,   0.21,   0.15,   2.79, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  8,  39.7297937, -83.7075286,   328.0, 2025, 11, 23, 18, 17, 40,        0,        0,   0,   0,   1.9,   1.0,   1.7,  0,  0, 21, 17,  0,  0, 31, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 32, 10,  0,  0, 19,  0
6, 11026, 11,KE8EXM,    -0.23, 3,   boost,   -0.49,  98303.00,  254.65,   -0.34,    0.00, 23.0, 4.11, 4.08, 4.09,   9.84,  -0.06,  -0.56,   1.26,  -0.01,   0.13,  -0.25,   0.21,   0.15,   2.79, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  8,  39.7297937, -83.7075286,   328.0, 2025, 11, 23, 18, 17, 40,        0,        0,   0,   0,   1.9,   1.0,   1.7,  0,  0, 21, 17,  0,  0, 31, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 32, 10,  0,  0, 19,  0
6, 11026, 11,KE8EXM,    -0.22, 3,   boost,   -0.98,  98303.00,  254.65,   -0.34,    0.00, 23.0, 4.11, 4.08, 4.09,   9.86,  -0.05,  -0.55,   1.08,  -0.37,   0.19,  -0.25,   0.21,   0.15,   2.79, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  8,  39.7297937, -83.7075286,   328.0, 2025, 11, 23, 18, 17, 40,        0,        0,   0,   0,   1.9,   1.0,   1.7,  0,  0, 21, 17,  0,  0, 31, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 32, 10,  0,  0, 19,  0
6, 11026, 11,KE8EXM,    -0.21, 3,   boost,   -1.47,  98303.00,  254.65,   -0.34,    0.00, 23.0, 4.11, 4.08, 4.09,   9.84,  -0.03,  -0.55,   0.59,  -0.07,  -0.05,  -0.25,   0.21,   0.15,   2.79, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1,  8,  39.7297937, -83.7075286,   328.0, 2025, 11, 23, 18, 17, 40,        0,        0,   0,   0,   1.9,   1.0,   1.7,  0,  0, 21, 17,  0,  0, 31, 27, 33,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26, 32, 10,  0,  0, 19,  0
